text,label
I see DRAM pushing to $100 and MU hitting $1500 by Q4.,speculation
"MU will drop after earnings. Have cash on hand to buy the dip, but wait until the next day. Geopolitical turmoil might also cause it to fall farther. It is the top of its game. It is no longer cyclical. It is the best in its sector and good for another 3 years.",speculation
"It will go up after earnings. As soon as the earnings news comes out, it might drop a few % because people will sell, but it will go up soon after, just like Sandisk in the last earnings call.",speculation
"The Iran war is supposedly over, Iran accepted it and the U.S. accepted it too, but why are the markets still weak? Why is Bitcoin still falling?",question
MU or SNDK which one looks better going forward?,question
How do fractional shares work,question
Micron has profits of $13 Billion so far this year with a market cap of 1.2 trillion while NVIDIA has a profit of 58.3 Billion with a market cap of $5T. Scandisk market cap is $323 Billion with $803 Million. Scandisk seems to have more room for actual growth.,analysis
"Earning beat and stock move lower is my prediction. It beat 12/12 previous EE, fell 8/12 post earnings. Earning is also slowing - this estimate to next is only about 20% growth (vs 10X a year ago) and will most likely slow more as capex expansion slows, they reach capacity, and demand destruction if raising price further. I bought last time post earnings sub 400. It has tripled since in 3 months with only slight earning estimate adjustment up. I'm out, and if you think it will rally, good luck.",analysis
"I'm going to lose $700,000 to a $345 million Polymarket scam.",reaction
"Market resolutions are decided by people who have UMA (a crypto coin) staked. There's $13 million worth of UMA staked currently, so a $13 million market controls the outcome of a $330 million market. This is a textbook setup for market manipulation.",analysis
Oils finishing up a head and shoulders pattern and will be at $60 by the new year,speculation
Do Institutional traders have an edge over retail traders ?,question
"Guys, don't panic sell. The bull arrives in Q1 2027",speculation
"My question is why did the 2025 cycle not provide as much growth for alts as it did in 2021? Genuinely interested. I know one factor was that everyone was still on lockdown in 2021 so there was more income to be invested, but are there any other reasons?",question
"I would argue that 2026 will shape up to be what many expected 2025 to be and that this cycle is different. There isnt going to be a one year bear market like many assume. At worst we drop below the true market mean and we float around 75k. Granted with inflation and debasement i would argue the TMM at 80-82k is the prior ATH of btc in 2021 at 69k. Our prior ath in 2021 at current prices puts our most recent ATH slightly below 100,000 in dollar value.",analysis
"Is it possible that we're starting another bear cycle right on cue, once again?",question
"Like a ripple in a pond, or an echo, with each new wave weakening. 2025 peak went 8x, 2021 peak went 16x, 2017 peak went 90x, 2013 peak went 452x. Each new bear market starting in Q4, then having one last big rally and bull trap, before the plunge.",analysis
"126k was the top right on cue. Now its a downwards cycle for 1 year, then sideways for a year after that. Earliest time to buy back in is end of 2026.",speculation
Does anyone think this *isn't* the worst cycle in cryptocurrency history?,question
Today I made $1m gains by selling my entire Nvidia portfolio,reaction
Are NVIDIA employees likely to be millionaires now if they joined five or more years ago?,question
"The real issue is capital rotation and opportunity cost. Crypto (Bitcoin especially) rips when there's no frothy, easy-money game elsewhere. Right now AI and all the AI-adjacent stuff is printing insane multiples of 100-300%+ returns in a couple years on real growth. Why chase a 2-3x in BTC when you can chase a 10x in the next AI play? So traditional markets suck up all the money and crypto just stagnates. But those AI gains have limits. Explosive growth can't keep compounding forever. Once it normalizes, energy issues, regulation, or just the market pricing in the upside, the rotation will flip fast.",analysis
58M - I have been through several bubbles. The S&P takes a dump but it always goes back considerably higher than its previous high.,speculation
When and how to determine when to take gains?,question
"Everyone is cheering the 19% pop like it proves something. It doesn't. Let's actually look. SpaceX closed today near a $2.1 TRILLION market cap. Their 2025 revenue? $18.7 billion. That's a price to sales ratio of about 112x. Not earnings, SALES. And they didn't even have earnings, they posted a $4.9 billion net loss for the year.",analysis
When do fundamentals in stocks matter?,question
SpaceX $1.75 Trillion valuation means capturing 2.4% of total US GDP by 2035. Is this realistic to you?,question
"Even assuming a relatively modest 10% annual return for investors, SpaceX would need to: grow revenue from $18.7B today to roughly $1.1T by 2035, sustain ~50% annual revenue growth for 10 consecutive year and eventually generate more revenue than Amazon does today.",analysis
We Are So Back!,reaction
I'm thinking of investing 4k into SpaceX IPO. Do you think of investing too or hold off on it until the hype cools down?,question
I told yall to buy SpaceX!,reaction
"Here's why that number is absurd. SpaceX sold 555.6 million shares at $135 to raise $75 billion. That float is barely 4% of the company. Musk and insiders hold the other 96%, locked up and unable to sell. Tiny supply. Enormous demand. Index funds that have to own it, retail that wants to, traders chasing the move. The result is a $2 trillion company that trades like a penny stock. Up to $211 pre-market, swinging double-digit percentages between coffees.",analysis
why is everyone dumping $SPCX rn?,question
My little baby win on SpaceX!,reaction
I don't care if $SOFI is at $15 or if it's at $25. IM STILL BUYING,reaction
Micron $MU has earning call next week and these are the price targets of Wall Street analysts. Do you think we will hit $1500 next week before earnings?,question
"Micron Technology's stock is soaring! Shares surged over 6% to a new all-time high of $1203.66, pushing its market cap to an unprecedented $1.36 trillion. The semiconductor giant is on a major upward trend!",reaction
$78??? Again don't sleep on DRAM,reaction
"Markets have gone from irrational to outright degenerate. There is absolutely no rational reason why this company should be worth anywhere near $3T, lol.",speculation
I am down 40%!,reaction
"This is still normal cycle behavior. After the 2025 ATH, a 40-50% drawdown is painful, but not unusual for crypto. The $58k-$60k support area matters a lot. If it breaks, yeah, we could see $50k. That would suck, but it would not be the end of the world.",analysis
"For me, this is a DCA and patience zone, not a 'go 20x long because Twitter said bottom is in' zone. I want to see BTC reclaim $67k-$70k with real volume before getting aggressive again. Risk management matters more than ever. Small position sizes, clear stops, no emotional revenge trades. I'd rather miss the first 10% of the move than get chopped to death trying to catch every fake bounce. Macro can still pressure the market through the summer. But if liquidity improves later in 2026 and adoption keeps moving, the picture could look very different by winter or 2027.",analysis
SpaceX on its way to become the most valuable company in the universe,speculation
"I feel like anybody who writes a headline about what SpaceX is 'worth' also needs to mention the 5% float. It's not really worth even close to that. If Elon tried to cash his shares, the value would drop so fast you couldn't even say 'trillionaire' before he would no longer be one.",analysis
so he raised 87 billion usd in the ipo and then fired off 60 billion usd for Cursor? Am I understanding this correct?,question
"Only 5% of the shares are floating, and most people can't sell without some other consideration (either a lockup or IPO ban.). Calling this a bigger company than AMZN and MSFT under these conditions is irresponsible at best. Price discovery is effectively disallowed here.",analysis
I'm tired boss,reaction
Didn't we do this 25 years ago? This shit is going to take the whole market with it when the bubble pops.,speculation
"I mean MSFT did $100B in operating profit last year, SpaceX is years away from break even....",analysis
"Semis vs Memory stocks, can anyone point out the difference to me?",question
Sk Hynix and Samsung will earn 300-500 billion profit. That's twice bigger than Apple or Google. Semi has 300 companies. Memory has only 3 companies.,analysis
"It's been historically cyclical because DRAM memory technologies only change every 5-10 years and they were historically a 'good enough' part of a stack, whereas cpu/gpu are normally the bottlenecks that see new product cycles every 1-2 years, and node changes every 2-3x. So memory manufacturing would mature and demand would taper for top end and it becomes a race to the bottom on pricing. We're still on DDR5 from 2020, for instance. With DDR4 still going strong up until recently (released in 2014). The difference now (with large models with large datasets) is that memory is the real bottleneck (each subsequent model needs exponentially more data), and what was once a niche product (HBM) is now the only viable thing for scale. We're at the beginning of a new memory cycle, and HBMs challenges get harder the more you densify it. The maturity cycle will be much longer, if at all ever reaching 90% yields.",analysis
"It is possible that in 2028 we may see a glut of memory supply, and these stocks may come down or be stagnant for next 3-4 years, but you might have made your profit. Or the downturns might not be severe.",speculation
"It really depends on this earnings call. Hynix is expected to deliver 50bn on a 70%+ profit margin... if that's true, these numbers aren't far off.",analysis
"How are you approaching MU earnings on Wednesday and the following momentum on all the remaining memory stocks, assuming all the stocks move higher?",question
"If I recall right, last earnings SNDK dropped I think 15% AH right after earnings then immediately shot back up to net 0 by the end of the AH and then into green the next day. Making any moves before or after earnings seems to always be a 50/50 gamble",analysis
"Nah, if it's a bad earnings and a bad week in the Hormuz, they'll drop it 20% over a week just to pump it back even.",speculation
"Everyone knows their numbers are going to be great. I'm hoping it's sell the news, then go all in on longer dated calls on that dip. I don't anticipate the dip will last very long at all",speculation
"Memory stocks aren't the next play, invest in photonics!",speculation
Imagine my face after I've sold 200 stocks for a smallish profit for 20 something last summer or fall because the stock wasn't going anywhere.,reaction
Grandma's money is now worth $2.1m!,reaction
Do you know spacex? Do you know its revenue? And how much loss its making? 1.5 T market cap!!,speculation
"I bought Intel 6 months before its biggest crisis for a simple reason : I thought it was largely undervalued. Intel is Intel, it's a behemoth in an industry that is really, really difficult and costly to get into. Stock prices don't only reflect (or should at least) the earnings, of future earnings but also the actual value of what the company posses. I might be wrong, but for now, I guess I was right.",analysis
"a 250% move on flat revenue is pure sentiment, not fundamentals. whether that sentiment outlasts the political tailwind is the real question. tbh I'd be nervous holding it at this valuation",analysis
"From what im reading, op is salty cause he didnt buy intel before the run up and complain about market irrational decision. No one forced u to buy anything brother. Btw, you complain about us stock market grown 200% while gpd grown only 20% last 10 years, feel free to sit on the sideline XD",reaction
"90% of stock price movements are based on hope and fear, in an endless cycle. Some try to predict the future, company actions can give a good hint, and economy forecast, in which direction will it go. But there is a component which is not under human control, thats uncertainty. As an investor, our tool to fight this uncertainty is diversification and not to put everything into one asset.",analysis
"I see lots of comments about CPUs being necessary, and their new foundry, but I would add that in addition to those, they have a new lineup of competitive GPUs, which they've shown a willingness to put more VRAM in at lower price points than Nvidia, and those may start to show up in more places. Intel has rapidly gone from not being in the GPU market at all to having an offering that's actually pretty interesting, if you can get over the ecosystem thorniness. So, if we're looking at future earnings, and one thinks that their GPU offering will continue to get better and potentially find more market penetration, they may go from no data center GPU revenue to a fairly sizeable amount.",analysis
The entire market runs on vibes and hype and a giant circle jerk of AI. That's it.,reaction
If the us government didn't get involved then intel would probably be where it was before. No one was interested in using their foundry to produce chips because of bad yield rates.,analysis
"Started buying up when it was in the 50-ies 4 years ago because I think it was under valued then, doubled in low 20-ies, but if you look further back than 12 months and compare to other semis its not had the same run up yet. They are building out production capacity which they had been lagging for too long and now they are getting to be the company with the newest ASML machines. I think it can go further but have taken a little profit now if the AI semi run up is a bubble. I didnt expect it to be at 135 this soon, the turn around will start seeing increased revenue from 28 and forward. Its risky but I think we can get to 200 within a few years.",analysis
"I would argue that Intel was actually undervalued and it is finally reaching a correct valuation. Intel was not losing money due to failure in their business, they were losing money because they were actually investing in the business. They were and are investing in making advance chips here in the US which was and is a brilliant business. They still had $59 Billion in revenue !! I think the market punishing a company for investing in the growth of the company is one of the issues with the market now. The irony of all of this of course was that stock market was created exactly for that purpose. Now companies play it safe with incremental investments while using stock buy backs to pump up their stock prices. I for one still think intel is under valued given NVIDIA has a market cap of $4T with a revenue of $215B because eventually the investment intel is making will pay huge dividends.",analysis
Intel is one of three major companies in the world that can fabricate chips. They are second to TSMC who is at capacity through 2028? and also has growing concerns with the China situation. Among other things the US government has taken a 10% stake in the company. Long story short.. if FAB proves out Intel starts printing money,analysis
MSFT around $378. Falling knife or finally reasonable?,question
Look at a 3 yr chart of msft. Clear support 360-380. Im buying this dip.,analysis
No brainer buy for long term imo,speculation
Monthly Sp500/all-world investment becoming too risky?,question
"Concentrated ETFs are still usually less risky than trying to outsmart the market. The S&P/all-world funds may be tech-heavy right now, but you're still buying broad exposure. Also, worth checking the holdings of an S&P 500 ETF as SpaceX won't automatically be in there",analysis
"It is a bubble, of course, but by the time it falls, you won't have time to get your money into the market before. It's all back up over before in the first place.",speculation
If you're long term I wouldn't really care. The concentration in the S&P 500 short term or even VTI though for sure is becoming more and more risky. The fundamentals remain strong rn but one bad quarter could be a big shake up and lead to short term losses,analysis
It went up 25% the last 12 months. It will only go up,speculation
What makes you leave one crypto exchange for another?,question
"Is the 4-year Bitcoin cycle still real, or is this one different?",question
"The bottom might still be in Oct but it would just be another retest of $59k, or maybe a quick wick down to $54k then right back to the power law floor of $68k",speculation
cycle is real. What people think it is just changes. But you will see your low before november and you will see a new ATH 18 months later.,speculation
"I have seen 3 cycles and so far it looks like every other bearmarket as far as I can tell. 4 year cycle predicted a top around october and this is exactly what happened. I dont see a reason to assume this bear market is any different, even with ETFs and more mainstream adoption. But it will be interesting to watch how this bear market will play out.",analysis
It's still real. Bottom later this year. Winter ends next Spring. ATH in 2nd half of 2029.,speculation
"He gets money from stock offerings, so there's no debt or interest bound to it. As long as people buy new stock, he will buy Bitcoin. And as fiat is infinite this only ends once the price of Bitcoin gets so high that he can't buy much.",analysis
"I still hold a meaningful amount of BTC and ETH, but next cycle may be my last. When stocks like SpaceX, Nvidia, Intel etc can return 2x-5x in a few days / months without the same level of volatility, risk, etc., what's the point for crypto as an investment anymore genuinely?",analysis
so.. crypto currency isn't a currency but an investment? the thousand of coins are investments? guys lets be honest.. 80% are all scams.. more like 99% but whatever.. crypto does have its purpose but the get rich quick days may be past for a bit.,analysis
I dont see the point in crypto?,reaction
"Been holding this bag for almost 5 years... From $10,000 to 3 Cents. Happy 2026!",reaction
Stocks went up 50% after I sold. How do you deal with sellers remorse?,question
Is liquidity an issue when buying etf's?,question
"I forgot I bought AMD and now its most of my portfolio, it's stressing me out",reaction
"Cash out and find your next ""AMD"" to put 20K in.",speculation
Do traders need a better way to catch their own bad decision patterns?,question
I need to quit my job so I don't blow up my monthly salary desperately trying to win big at my wretched desk. All my bad decisions are forced by desperation.,reaction
"Six months research, buy the stocks, watch them plummit, then fageddabadidahh",reaction
"With Bitcoin down 34% ($31k) in the last 6 months, are the crypto folks rethinking their thoughts?",question
"What is it, 5th or 6th time it's crashed? Seems pretty normal",reaction
"Honestly with Silk Road long gone, I don't know the practical application of crypto anymore.",reaction
"The money is made in bear markets. Everyone forgets the goal is buy low, sell high. The price gets low, everyone panics and does the opposite of what they are supposed to. Same as it ever was.",analysis
"If you know Bitcoin is gonna crash, why aren't you all millionaires already?",reaction
Best resources to learn Crypto / Bitcoin from scratch? (A to Z guide),question
i pulled all my money out of the stock market in 2025 and now with historic highs i can't get back in,reaction
What are your thoughts on AVGO (Broadcom)?,question
"Is there a way to invest without AI/ Are there any ""Non-AI"" stocks/ETFs that are reliable?",question
"Investing based on your moral compass is a great way to not make money. The brokerage you use, the bank you where you keep your money, the company you work for, they all take part in AI. The only way to not touch AI is to live in the woods.",analysis
It absolutely did. SPY and the general economy were pretty healthy and now we have double the inflation target. Should have been at +20% or so. Look at the international stock market. Its beaten the US S&P for the past two years since Trump has been in office. That's a significant underperformance.,analysis
When you speak of the market....you may want to talk about more than just SPY and the narrow bull market that pushing that particular index,analysis
The war had an impact - a positive one. That positive effect should continue as long as the deal is ambiguous. Without the war I think SPX is at 6900 or would have corrected down to 6000.,analysis
Rocket Lab just put up its best quarter ever and the stock is down ~25% from its June high. What am I missing?,question
SK Hynix - easy money or am I dumb?,question
"I wouldn't assume a US listing automatically means a higher share price. If the market already expects the listing, a lot of that benefit may already be priced in. The bigger question is whether SK Hynix can continue growing earnings and margins from HBM demand rather than whether more US investors can buy it. The 'Korea Discount' is real, but there's no guarantee a US listing eliminates it overnight. Governance, capital allocation and market structure still matter. The question I'd ask is: if the US listing was cancelled tomorrow, would you still want to own the business?",analysis
"If customers are this desperate, keep buying dips. There is still so much room to grow",speculation
"This is absolute insanity. First they were begging for memory chips, now they are begging for entire factories to be built on top of all the ones coming online between 2027-30. This is the most bullish signal in my 20 years of investing",analysis
"I'm not sure if I should be happy or sad that, in just a few weeks of owning MU and the DRAM ETF, I basically made an entire year's salary.",reaction
Given that Micron is America's only memory manufacturer there is no way they are letting it fail,speculation
I am thinking of buying this SK Hynix dip. Its 8% down. In IBKR you can buy in European or Korean markets. Compared to MU it is crazy dip. Maybe we will see the same dip in MU at opening. But SK Hynix looks cheaper now.,analysis
"SK Hynix is better because its market cap is significantly lower than MU, which means it can grow more percentage-wise",analysis
It's back over $1500 in the overnight right now. Looks like we may see the ATH for SNDK tested again on Tuesday.,speculation
"I mean sure, but the more relevant pairing is to Kioxia, which was down over 5% today. So there's that, I would say be careful trading on that news.",analysis
"Easy money I'm going to buy at early, and then flip that for a profit... Wait for a dip and a price settlement... Then buy in for a long term hold...",speculation
Waiting for the next dip to get me a good 3 weeks of $KORU.... Should have bought lady week. Up 80% since...,speculation
"i went from 250k to 1m with sk hynix and samsung in march. I sold everything when the war started but had i held, i would be at 1.5m. i dumped $660k into sk hynix just yesterday again because i am convinced it'll go up to at least 4,000,000 krw this year. I'm holding indefinitely",speculation
"There is. SK Hynix is the clear winner compared to Micron but still priced relatively cheaper. That's the Korea discount. But I don't really see how this discount is supposed to go away with the US listing. It's still a korean company, Korea is politically unstable and the current government is very business unfriendly.",analysis
Can someone please explain to me like I'm 8 years old why SpaceX is down,question
"When a stock in the nasdaq severely drops in a single day, youll notice other stocks will raise as the money rotates to other stocks and drags the index up. When Oracle dropped 10% that day the rest of nasdaq was getting pumped. The only time everything gets dragged is if its an indication of overall market weakness and not because a single stock is pulling the index down.",analysis
"If SpaceX (an overvalued AI stock) belongs in any index, it is the Nasdaq (which is dominated by overvalued AI stocks). It seems very strange that you would be in the Nasdaq and object to to the inclusion of overvalued AI stocks. Angry about owning a little SpaceX but happy to own a whole bunch of Nvidia...",analysis
"I think we are in the eye of the storm and even with the Iran 'deal', oil reserves are drying, inflation is red hot, and the mag 3 are holding everything on their shoulders. I think the market has priced in the Iran deal as well so idk if we will see a 5-8% jump from it. I just see splinters everywhere. The cap gain hit will suck but when I dump it all back once we enter the 30-40% correction I think is coming, it will pay off.",analysis
Is there about to be a push into Quantum Computing stocks?,question
"I would say while Kioxia is very similar to SNDK as a business, it's stock makeup doesn't make it a better indicator for SNDK like SK Hynix or Samsung. As you can see, SNDK is rocketing straight up currently in the $1580s over 7%, it's very much moving like sk hynix and samsung the night before in south Korea.",analysis
What quantum computing stocks are there to invest into?,question
Hope this pumps my already pumped EWY,reaction
Why NKE (Nike) falling until now?,question
"Over the last 30 years, small-cap value (AVUV/DFSVX) outperformed SPY by 1-2% per year. Nasdaq-100 did the best, but you'd be hard-pressed to find a significant sample of the population that held through the dot-com drawdown to get the returns from that 30-year period. Not many with a 15-year horizon are going to realize that kind of equity growth if they are in the median of shifting to capital preservation rather than growth in those last years before retirement. International (VXUS) has done the worst over the longer timeframe as well. It's a changing landscape, will be interesting to see if ex-US sees greater returns from here. But the longer horizon is still not favorable yet.",analysis
The biggest takeaway for me isn't that QQQ still did well. It's that almost nobody would feel smart holding something that stayed underwater for 12-14 years. Long-term investing sounds easy until the 'long term' starts with a lost decade.,analysis
An 80%+ 15 year drawdown for QQQ followed by another 40% drawdown during Covid. Perfect for retirees.,analysis
SpaceX is a financially engineered scam. There is no need to put too much thought into this.,speculation
"It's simple. Always inverse Reddit, no one here knows what they are talking about. If you listened to everyone here, you would've shorted SpaceX at IPO and would be down substantially.",reaction
You can't use financial analysis and standard logic to valuate Elon's companies.,speculation
Are people really still taking these crazy predictions/forecasts from Musk seriously?! He's been doing this for years and is basically always wrong/way off the mark.,reaction
SPCX is pure hype and corruption - yall doing technical analysis are looking at it wrong,speculation
"I think most people agree that the valuation is indefensible (with some exceptions), but that also doesn't mean the stock isn't going to go up. It will rip initially. What happens next is where it will get interesting.",speculation
"Does anybody really think that hyperscalers are either going to slow down the AI buildout or order less memory because of efficiency gains? If anything, this just raises margins for them considering they're still supply constrained.",analysis
MU is down due to its buying back its debt at 5Bn.. a quantization strategy for kvcache is not a deepseek moment.. also ALL quantization comes at a cost to performance.. and wont be obvious till you try it. the reason not to hold MU is short term the markets are out of steam. def DCA though,analysis
Today I'm feeling a rocket ship coming on,reaction
Would it make sense to switch my EWY holdings to SK Hynix directly instead when that happens?,question
"MU is building up its potential energy ahead of earnings, I can feel it.",speculation
if theres only the slightest implication that revenue is cooling down or not going up as much the crash will be insane. memory stocks are currently priced to perfection maybe even more.,analysis
"That's what everyone is saying what if it's different this time, since there's no negative catalyst surrounding mu earnings. Last earnings dropped because markets were already dropping before mu earnings, high oil and Iran war. This earnings we got Iran war out of the way, oil dipping and fomc out of the way",analysis
SK Hynix has and will continue to outperform mu,speculation
DRAM to the moon!,reaction
Yea Tomorrow we should be up at least 15% to catch up to SK.,speculation
how to buy SK hynix ?,question
"So I went 2x margin MU last year and took out an additional Heloc to ride the AI wave. I don't see how $2,000 won't be achieved this in the next 12 months. So I feel like this is just the beginning of our run boys!",speculation
Down 1.23% what a loser,reaction
"My share is up 1075%. Yes, one share.",reaction
"I officially closed my $MU position after a 1,600% return. I love the company and it will still go up for sure.",reaction
This is deeply bullish. MU now gets to eat some of Anthropic's lunch after their IPO later this year,speculation
"So SNDK reactions after MU earnings is usually much stronger on the upside return the following month. Second we get end of July the SNDK earnings, which usually show us another +20% to +30% return after. So holding SNDK is preferable to MU.",analysis
DELL did over $95b in revenue in 2025 and are projecting ~$165b in 2026. A $1.44b multiyear contract is a drop in the bucket.,analysis
"Dell's software team sells a lot of these microsoft licencing deals at or near cost. It's not going to move the needle much, It's revenue, not margin. If it was 1.44b in ai infrastructure, that would have been notable as notable margin would have come with it.",analysis
Dell is SIGNIFICANTLY overvalued at the momen,speculation
What Does a 600% Wealth-to-GDP Ratio Actually Mean?,question
Bubbles can work oddly. If enough people think you are in a bubble the burst may never happen because they typically trade thinking it will go down relieving the downward pressure. They tend to burst when you don't think you are in a bubble. The last big one happened with very few investors knew it was coming. Today we have social media where everyone knows everything so no telling if we will get a burst like before. Someone who predicts when if it does happen would get rich fast if they backup their guess.,analysis
I mean obvious long term MSFT? ...not sure if 2nd half of 2026 will be enough for a short ralley.,speculation
RDDT is my pick. Incredibly undervalued.,speculation
Oh and MSFT is a no brainer at this price.,speculation
"People will just offer their bags to you. Ill try to keep it general, the cycle which drives hw stocks up isnt over yet, might very well continue for two quarters maybe not in the same intensity ofc",speculation
PL. Easy 2x by end of 2026.,speculation
"NFLX, testing 52 week lows last seen from WB deal fallout which was canceled. Trading at almost below 20x 2027 EPS estimates, Ad business is growing like crazy, international expansion is growing like crazy, and authorized share buybacks for over 10% of the company. Concerns about user engagement and liquidity from AI trades are hurting sentiment.",analysis
"I sold my MU to get early positions on MDA, FLT and PNG. I am making bets that Canada will make big investments with their newly announced Defence fund.",speculation
"I bought a tiny bit more today so I have exactly 200 shares. Hardly worth the investment trouble and definitely overpriced. But I can sell covered calls for next month $25 out of the money for $2,000 for two contracts. If the stock runs it would need to get to $220 before I start losing money on calls (but that means I made $7,000 so no complaints. If it doesn't hit $210 I just pocket $2,000 if it falls from here I still have $10 per share of downside protection. The risk is it loses $50 a share from here in one month. Possible but unlikely.",analysis
"I picked up a small position with credo, former marvell engineers, supplying data center components with future tech in dev like silicon photonics. Not a long hold. Mrvl and sndk are a better choice in long run, as their run isn't over.",analysis
"ZIM is a good bet if you're into merger arbitrage. $25 now gets you $35 cash if and when the merger goes through, probably in Q4. They have an even better offer at $37.50 if their buyout offer with Hapag Lloyd falls through. The major risk is that the Israeli government could vote to block the merge",analysis
"SPCX, bullish on space travel and time travel",reaction
Everyone is throwing out space stocks as if theirs any hype for them anymore. Y'all can downvote me if you wish but you will have 0 momentum for a very long time. What's going to change? Who's rushing to get to space right now? SPCX hyped everyone that it was happening now but it's not.,analysis
What do you think could bring in growth in next 1-3 years?,question
"Am I crazy for thinking AMD is undervalued here? It's trading at a discount to NVDA on forward earnings despite taking MI300 market share, and the data-center segment doubled YoY...",analysis
ETH is massively undervalued - its P/E equivalent is way below its historical average.,speculation
Down 40% today because the Fed spooked everyone with the rate comments. Brutal.,reaction
Shorting SPCX post-IPO while long QQQ?,question
Wow. I sold my position literally two days ago because I thought the market was dead. Watching it pump right after I exited is painful. Congrats to everyone who held through the volatility.,reaction
This rally feels completely disconnected from reality. Nothing about the fundamentals justifies a 20% move in a week. I've seen this setup before and it usually ends with retail getting trapped near the top,analysis
"Believe it or not, this is my single biggest hesitation. But the bigger it is, the harder to game. Fwiw, TSLA also crashed shortly after IPO.",analysis
You're shorting a stock with a 4% float before the Nasdaq 100 inclusion,analysis
"Musk owns the US government, I wouldn't do it",reaction
"SPCX is a wild child but I am sure it is and will be correlated to Nasdaq100, so you reasoning is 100% opposite.",analysis
"Do you integrate ""Quality"" indices and ""Value"" indices?",question
nothing will beat the highs of crypto vs SPY 0DTE,speculation
I'm getting severe FOMO on semis and DRAM,reaction
"I was insanely bullish on MU earnings until I saw the new whisper targets coming out over the weekend. Goldman Sachs now has its predictions so fucking high that even if MU falls in with a MASSIVE beat and guidance raise, it will only meet the unofficial wall street expectations",analysis
Green on a mostly red day!,reaction
A little gain after diamond hands. Will take profits bY WHENSDAY LOL and rebuy ON Thursday.,reaction
"Bought ACN puts instead of ACM, got 3000%",reaction
Fuck everyone. 4.5 years to get to a million without options and I'm done!,reaction
Good bye to trump era of option trading,reaction
"Holy shit I hope you're joking or a bot because this in ungodly stupid. Never touch stock trading again in your life, just S&P500 or some other ETF and NOTHING. ELSE.",reaction
I bought MRVL at $82 off hiring data. It's $325 now and I can't decide whether to sell.,question
