text,pre_label,notes,prelabeled,changed_on_review,,labels,count
I see DRAM pushing to $100 and MU hitting $1500 by Q4.,speculation,,yes,,,speculation,46
"MU will drop after earnings. Have cash on hand to buy the dip, but wait until the next day. Geopolitical turmoil might also cause it to fall farther. It is the top of its game. It is no longer cyclical. It is the best in its sector and good for another 3 years.",speculation,Confident calls asserted with no support.,yes,,,analysis,70
"It will go up after earnings. As soon as the earnings news comes out, it might drop a few % because people will sell, but it will go up soon after, just like Sandisk in the last earnings call.",speculation,"BORDERLINE analysis: only support is a thin 'just like Sandisk' analogy, not developed.",yes,,,question,41
"The Iran war is supposedly over, Iran accepted it and the U.S. accepted it too, but why are the markets still weak? Why is Bitcoin still falling?",question,Asks the room why markets are weak.,yes,,,reaction,43
MU or SNDK which one looks better going forward?,question,,yes,,,,
How do fractional shares work,question,,yes,,,,
Micron has profits of $13 Billion so far this year with a market cap of 1.2 trillion while NVIDIA has a profit of 58.3 Billion with a market cap of $5T. Scandisk market cap is $323 Billion with $803 Million. Scandisk seems to have more room for actual growth.,analysis,"Compares valuations, draws conclusion. (Numbers are shaky but structure is analysis.)",yes,,,,
"Earning beat and stock move lower is my prediction. It beat 12/12 previous EE, fell 8/12 post earnings. Earning is also slowing - this estimate to next is only about 20% growth (vs 10X a year ago) and will most likely slow more as capex expansion slows, they reach capacity, and demand destruction if raising price further. I bought last time post earnings sub 400. It has tripled since in 3 months with only slight earning estimate adjustment up. I'm out, and if you think it will rally, good luck.",analysis,Prediction backed by pattern + mechanism.,yes,,,,
"I'm going to lose $700,000 to a $345 million Polymarket scam.",reaction,"Emotional, no argument.",yes,,,,
"Market resolutions are decided by people who have UMA (a crypto coin) staked. There's $13 million worth of UMA staked currently, so a $13 million market controls the outcome of a $330 million market. This is a textbook setup for market manipulation.",analysis,Claim + specific mechanism/numbers.,yes,,,,
Oils finishing up a head and shoulders pattern and will be at $60 by the new year,speculation,"BORDERLINE: 'head and shoulders' is a decorative TA name, not developed reasoning. Leans speculation.",yes,,,,
Do Institutional traders have an edge over retail traders ?,question,,yes,,,,
"Guys, don't panic sell. The bull arrives in Q1 2027",speculation,Directional call asserted flat.,yes,,,,
"My question is why did the 2025 cycle not provide as much growth for alts as it did in 2021? Genuinely interested. I know one factor was that everyone was still on lockdown in 2021 so there was more income to be invested, but are there any other reasons?",question,Explicitly seeking input despite offering a hypothesis.,yes,,,,
"I would argue that 2026 will shape up to be what many expected 2025 to be and that this cycle is different. There isnt going to be a one year bear market like many assume. At worst we drop below the true market mean and we float around 75k. Granted with inflation and debasement i would argue the TMM at 80-82k is the prior ATH of btc in 2021 at 69k. Our prior ath in 2021 at current prices puts our most recent ATH slightly below 100,000 in dollar value.",analysis,'I would argue' + reasoning with specific levels.,yes,,,,
"Is it possible that we're starting another bear cycle right on cue, once again?",question,"BORDERLINE question/reaction (frustrated tone, but asks the room).",yes,,,,
"Like a ripple in a pond, or an echo, with each new wave weakening. 2025 peak went 8x, 2021 peak went 16x, 2017 peak went 90x, 2013 peak went 452x. Each new bear market starting in Q4, then having one last big rally and bull trap, before the plunge.",analysis,Pattern with specific data + structural claim.,yes,,,,
"126k was the top right on cue. Now its a downwards cycle for 1 year, then sideways for a year after that. Earliest time to buy back in is end of 2026.",speculation,"Confident directional calls, asserted flat. (Same author as the 'ripple' post, but stands alone as speculation.)",yes,,,,
Does anyone think this *isn't* the worst cycle in cryptocurrency history?,question,"BORDERLINE question/reaction (sentiment solicitation, frustrated undertone).",yes,,,,
Today I made $1m gains by selling my entire Nvidia portfolio,reaction,,yes,,,,
Are NVIDIA employees likely to be millionaires now if they joined five or more years ago?,question,,yes,,,,
"The real issue is capital rotation and opportunity cost. Crypto (Bitcoin especially) rips when there's no frothy, easy-money game elsewhere. Right now AI and all the AI-adjacent stuff is printing insane multiples of 100-300%+ returns in a couple years on real growth. Why chase a 2-3x in BTC when you can chase a 10x in the next AI play? So traditional markets suck up all the money and crypto just stagnates. But those AI gains have limits. Explosive growth can't keep compounding forever. Once it normalizes, energy issues, regulation, or just the market pricing in the upside, the rotation will flip fast.",analysis,Structured argument with mechanism (capital rotation / opportunity cost).,yes,,,,
58M - I have been through several bubbles. The S&P takes a dump but it always goes back considerably higher than its previous high.,speculation,"BORDERLINE analysis/speculation: 'always goes back higher' is an argument-from-historical-pattern, but support is anecdotal. Review.",yes,yes,,,
When and how to determine when to take gains?,question,,yes,,,,
"Everyone is cheering the 19% pop like it proves something. It doesn't. Let's actually look. SpaceX closed today near a $2.1 TRILLION market cap. Their 2025 revenue? $18.7 billion. That's a price to sales ratio of about 112x. Not earnings, SALES. And they didn't even have earnings, they posted a $4.9 billion net loss for the year.",analysis,Strong: specific figures + valuation argument.,yes,,,,
When do fundamentals in stocks matter?,question,,yes,,,,
SpaceX $1.75 Trillion valuation means capturing 2.4% of total US GDP by 2035. Is this realistic to you?,question,"BORDERLINE analysis/question: the GDP-capture reframe is an argument, but it closes with 'is this realistic to you?' Review.",yes,yes,,,
"Even assuming a relatively modest 10% annual return for investors, SpaceX would need to: grow revenue from $18.7B today to roughly $1.1T by 2035, sustain ~50% annual revenue growth for 10 consecutive year and eventually generate more revenue than Amazon does today.",analysis,Quantitative argument about what the valuation requires.,yes,,,,
We Are So Back!,reaction,,yes,,,,
I'm thinking of investing 4k into SpaceX IPO. Do you think of investing too or hold off on it until the hype cools down?,question,,yes,,,,
I told yall to buy SpaceX!,reaction,"Gloat / victory lap, no argument.",yes,,,,
"Here's why that number is absurd. SpaceX sold 555.6 million shares at $135 to raise $75 billion. That float is barely 4% of the company. Musk and insiders hold the other 96%, locked up and unable to sell. Tiny supply. Enormous demand. Index funds that have to own it, retail that wants to, traders chasing the move. The result is a $2 trillion company that trades like a penny stock. Up to $211 pre-market, swinging double-digit percentages between coffees.",analysis,Strong: low-float mechanism + figures.,yes,,,,
why is everyone dumping $SPCX rn?,question,,yes,,,,
My little baby win on SpaceX!,reaction,Euphoria/brag.,yes,,,,
I don't care if $SOFI is at $15 or if it's at $25. IM STILL BUYING,reaction,"BORDERLINE reaction/speculation: emotional conviction, no target or reasoning. Leans reaction.",yes,,,,
Micron $MU has earning call next week and these are the price targets of Wall Street analysts. Do you think we will hit $1500 next week before earnings?,question,,yes,,,,
"Micron Technology's stock is soaring! Shares surged over 6% to a new all-time high of $1203.66, pushing its market cap to an unprecedented $1.36 trillion. The semiconductor giant is on a major upward trend!",reaction,Reads like news headline but it is someone reaction towards $MU. ,yes,yes,,,
$78??? Again don't sleep on DRAM,reaction,Surprise + mild hype. Thin. Leans reaction.,yes,,,,
"Markets have gone from irrational to outright degenerate. There is absolutely no rational reason why this company should be worth anywhere near $3T, lol.",speculation,Undefended bearish valuation claim wrapped in emotion. (Logged hard case: mirror of the defended SpaceX analysis posts.),yes,,,,
I am down 40%!,reaction,"Emotional, loss.",yes,,,,
"This is still normal cycle behavior. After the 2025 ATH, a 40-50% drawdown is painful, but not unusual for crypto. The $58k-$60k support area matters a lot. If it breaks, yeah, we could see $50k. That would suck, but it would not be the end of the world.",analysis,Cycle reasoning + specific levels + conditional logic.,yes,,,,
"For me, this is a DCA and patience zone, not a 'go 20x long because Twitter said bottom is in' zone. I want to see BTC reclaim $67k-$70k with real volume before getting aggressive again. Risk management matters more than ever. Small position sizes, clear stops, no emotional revenge trades. I'd rather miss the first 10% of the move than get chopped to death trying to catch every fake bounce. Macro can still pressure the market through the summer. But if liquidity improves later in 2026 and adoption keeps moving, the picture could look very different by winter or 2027.",analysis,Reasoned strategy with conditions/levels/macro.,yes,,,,
SpaceX on its way to become the most valuable company in the universe,speculation,BORDERLINE: hyperbolic bullish call. Leans speculation (alt: reaction as a joke/hype).,yes,,,,
"I feel like anybody who writes a headline about what SpaceX is 'worth' also needs to mention the 5% float. It's not really worth even close to that. If Elon tried to cash his shares, the value would drop so fast you couldn't even say 'trillionaire' before he would no longer be one.",analysis,Argues the float point with mechanism.,yes,,,,
so he raised 87 billion usd in the ipo and then fired off 60 billion usd for Cursor? Am I understanding this correct?,question,Seeking confirmation.,yes,,,,
"Only 5% of the shares are floating, and most people can't sell without some other consideration (either a lockup or IPO ban.). Calling this a bigger company than AMZN and MSFT under these conditions is irresponsible at best. Price discovery is effectively disallowed here.",analysis,Float/price-discovery argument.,yes,,,,
I'm tired boss,reaction,"Emotional, meme. Short but self-contained.",yes,,,,
Didn't we do this 25 years ago? This shit is going to take the whole market with it when the bubble pops.,speculation,"BORDERLINE: bearish crash call; dot-com gesture is decorative, not built. Leans speculation.",yes,,,,
"I mean MSFT did $100B in operating profit last year, SpaceX is years away from break even....",analysis,Comparative point with a specific figure. (Short analysis - good for length balance.),yes,,,,
"Semis vs Memory stocks, can anyone point out the difference to me?",question,,yes,,,,
Sk Hynix and Samsung will earn 300-500 billion profit. That's twice bigger than Apple or Google. Semi has 300 companies. Memory has only 3 companies.,analysis,"Oligopoly/scale argument with figures (numbers shaky, structure is analysis).",yes,,,,
"It's been historically cyclical because DRAM memory technologies only change every 5-10 years and they were historically a 'good enough' part of a stack, whereas cpu/gpu are normally the bottlenecks that see new product cycles every 1-2 years, and node changes every 2-3x. So memory manufacturing would mature and demand would taper for top end and it becomes a race to the bottom on pricing. We're still on DDR5 from 2020, for instance. With DDR4 still going strong up until recently (released in 2014). The difference now (with large models with large datasets) is that memory is the real bottleneck (each subsequent model needs exponentially more data), and what was once a niche product (HBM) is now the only viable thing for scale. We're at the beginning of a new memory cycle, and HBMs challenges get harder the more you densify it. The maturity cycle will be much longer, if at all ever reaching 90% yields.",analysis,Full structural argument with mechanism + counter-scenario. Strong canonical example.,yes,,,,
"It is possible that in 2028 we may see a glut of memory supply, and these stocks may come down or be stagnant for next 3-4 years, but you might have made your profit. Or the downturns might not be severe.",speculation,BORDERLINE: hedged forward scenario; thin mechanism (glut->down). Leans speculation,yes,,,,
"It really depends on this earnings call. Hynix is expected to deliver 50bn on a 70%+ profit margin... if that's true, these numbers aren't far off.",analysis,Conditional reasoning with specific figures.,yes,,,,
"How are you approaching MU earnings on Wednesday and the following momentum on all the remaining memory stocks, assuming all the stocks move higher?",question,Asking how others approach.,yes,,,,
"If I recall right, last earnings SNDK dropped I think 15% AH right after earnings then immediately shot back up to net 0 by the end of the AH and then into green the next day. Making any moves before or after earnings seems to always be a 50/50 gamble",analysis,BORDERLINE: cites a historical pattern to support a claim (hedged 'if I recall'). Leans analysis.,yes,,,,
"Nah, if it's a bad earnings and a bad week in the Hormuz, they'll drop it 20% over a week just to pump it back even.",speculation,"Conditional directional call, no evidence.",yes,,,,
"Everyone knows their numbers are going to be great. I'm hoping it's sell the news, then go all in on longer dated calls on that dip. I don't anticipate the dip will last very long at all",speculation,"Directional prediction + play, asserted, no evidence.",yes,,,,
"Memory stocks aren't the next play, invest in photonics!",speculation,"Bold sector-switch call, no support.",yes,,,,
Imagine my face after I've sold 200 stocks for a smallish profit for 20 something last summer or fall because the stock wasn't going anywhere.,reaction,Rueful regret. (Medium-length reaction - good for length balance.),yes,,,,
Grandma's money is now worth $2.1m!,reaction,,yes,,,,
Do you know spacex? Do you know its revenue? And how much loss its making? 1.5 T market cap!!,speculation,"BORDERLINE: incredulous bearish valuation claim via rhetorical Qs, no real figures. Leans speculation (alt: reaction).",yes,,,,
"I bought Intel 6 months before its biggest crisis for a simple reason : I thought it was largely undervalued. Intel is Intel, it's a behemoth in an industry that is really, really difficult and costly to get into. Stock prices don't only reflect (or should at least) the earnings, of future earnings but also the actual value of what the company posses. I might be wrong, but for now, I guess I was right.",analysis,Undervaluation thesis with reasoning.,yes,,,,
"a 250% move on flat revenue is pure sentiment, not fundamentals. whether that sentiment outlasts the political tailwind is the real question. tbh I'd be nervous holding it at this valuation",analysis,Specific observation (250% on flat revenue) + reasoning.,yes,,,,
"From what im reading, op is salty cause he didnt buy intel before the run up and complain about market irrational decision. No one forced u to buy anything brother. Btw, you complain about us stock market grown 200% while gpd grown only 20% last 10 years, feel free to sit on the sideline XD",reaction,"BORDERLINE: dismissive reply at another user, emotional. Leans reaction ",yes,,,,
"90% of stock price movements are based on hope and fear, in an endless cycle. Some try to predict the future, company actions can give a good hint, and economy forecast, in which direction will it go. But there is a component which is not under human control, thats uncertainty. As an investor, our tool to fight this uncertainty is diversification and not to put everything into one asset.",analysis,Argues a position about markets + strategy conclusion.,yes,,,,
"I see lots of comments about CPUs being necessary, and their new foundry, but I would add that in addition to those, they have a new lineup of competitive GPUs, which they've shown a willingness to put more VRAM in at lower price points than Nvidia, and those may start to show up in more places. Intel has rapidly gone from not being in the GPU market at all to having an offering that's actually pretty interesting, if you can get over the ecosystem thorniness. So, if we're looking at future earnings, and one thinks that their GPU offering will continue to get better and potentially find more market penetration, they may go from no data center GPU revenue to a fairly sizeable amount.",analysis,Argues Intel GPU upside with specifics.,yes,,,,
The entire market runs on vibes and hype and a giant circle jerk of AI. That's it.,reaction,"BORDERLINE: cynical undefended assertion, no directional call. Leans reaction (venting) ",yes,,,,
If the us government didn't get involved then intel would probably be where it was before. No one was interested in using their foundry to produce chips because of bad yield rates.,analysis,Causal argument (govt + yields).,yes,,,,
"Started buying up when it was in the 50-ies 4 years ago because I think it was under valued then, doubled in low 20-ies, but if you look further back than 12 months and compare to other semis its not had the same run up yet. They are building out production capacity which they had been lagging for too long and now they are getting to be the company with the newest ASML machines. I think it can go further but have taken a little profit now if the AI semi run up is a bubble. I didnt expect it to be at 135 this soon, the turn around will start seeing increased revenue from 28 and forward. Its risky but I think we can get to 200 within a few years.",analysis,"Extended thesis: capacity, ASML, comparison, target with support.",yes,,,,
"I would argue that Intel was actually undervalued and it is finally reaching a correct valuation. Intel was not losing money due to failure in their business, they were losing money because they were actually investing in the business. They were and are investing in making advance chips here in the US which was and is a brilliant business. They still had $59 Billion in revenue !! I think the market punishing a company for investing in the growth of the company is one of the issues with the market now. The irony of all of this of course was that stock market was created exactly for that purpose. Now companies play it safe with incremental investments while using stock buy backs to pump up their stock prices. I for one still think intel is under valued given NVIDIA has a market cap of $4T with a revenue of $215B because eventually the investment intel is making will pay huge dividends.",analysis,'I would argue' thesis with figures + reasoning.,yes,,,,
Intel is one of three major companies in the world that can fabricate chips. They are second to TSMC who is at capacity through 2028? and also has growing concerns with the China situation. Among other things the US government has taken a 10% stake in the company. Long story short.. if FAB proves out Intel starts printing money,analysis,Industry-structure facts + conditional conclusion.,yes,,,,
MSFT around $378. Falling knife or finally reasonable?,question,,yes,,,,
Look at a 3 yr chart of msft. Clear support 360-380. Im buying this dip.,analysis,"BORDERLINE: TA-based, but cites a specific support level as the reason. Leans analysis ",yes,,,,
No brainer buy for long term imo,speculation,"Bare confident call, no support.",yes,,,,
Monthly Sp500/all-world investment becoming too risky?,question,,yes,,,,
"Concentrated ETFs are still usually less risky than trying to outsmart the market. The S&P/all-world funds may be tech-heavy right now, but you're still buying broad exposure. Also, worth checking the holdings of an S&P 500 ETF as SpaceX won't automatically be in there",analysis,Reasoned diversification/risk argument.,yes,,,,
"It is a bubble, of course, but by the time it falls, you won't have time to get your money into the market before. It's all back up over before in the first place.",speculation,"BORDERLINE: bubble call + timing assertion, no support (and garbled). Leans speculation.",yes,,,,
If you're long term I wouldn't really care. The concentration in the S&P 500 short term or even VTI though for sure is becoming more and more risky. The fundamentals remain strong rn but one bad quarter could be a big shake up and lead to short term losses,analysis,Concentration-risk reasoning with conditions.,yes,,,,
It went up 25% the last 12 months. It will only go up,speculation,'It will only go up' = naive call; the 25% is decorative.,yes,,,,
What makes you leave one crypto exchange for another?,question,,yes,,,,
"Is the 4-year Bitcoin cycle still real, or is this one different?",question,,yes,,,,
"The bottom might still be in Oct but it would just be another retest of $59k, or maybe a quick wick down to $54k then right back to the power law floor of $68k",speculation,BORDERLINE: specific price forecast with a 'power law' framework gesture. Leans speculation.,yes,,,,
cycle is real. What people think it is just changes. But you will see your low before november and you will see a new ATH 18 months later.,speculation,"Confident cycle predictions, asserted.",yes,,,,
"I have seen 3 cycles and so far it looks like every other bearmarket as far as I can tell. 4 year cycle predicted a top around october and this is exactly what happened. I dont see a reason to assume this bear market is any different, even with ETFs and more mainstream adoption. But it will be interesting to watch how this bear market will play out.",analysis,"Argument from historical pattern (3 cycles, 4yr cycle matched).",yes,,,,
It's still real. Bottom later this year. Winter ends next Spring. ATH in 2nd half of 2029.,speculation,"Bare sequence of predictions, no support.",yes,,,,
"He gets money from stock offerings, so there's no debt or interest bound to it. As long as people buy new stock, he will buy Bitcoin. And as fiat is infinite this only ends once the price of Bitcoin gets so high that he can't buy much.",analysis,Explains a mechanism (stock-offering -> BTC buying loop).,yes,,,,
"I still hold a meaningful amount of BTC and ETH, but next cycle may be my last. When stocks like SpaceX, Nvidia, Intel etc can return 2x-5x in a few days / months without the same level of volatility, risk, etc., what's the point for crypto as an investment anymore genuinely?",analysis,"BORDERLINE analysis/question: argues an opportunity-cost thesis, ends with 'what's the point genuinely?' Leans analysis.",yes,,,,
so.. crypto currency isn't a currency but an investment? the thousand of coins are investments? guys lets be honest.. 80% are all scams.. more like 99% but whatever.. crypto does have its purpose but the get rich quick days may be past for a bit.,analysis,BORDERLINE (thin): characterization argument with a reasoning chain but assertion-level evidence. Leans analysis,yes,,,,
I dont see the point in crypto?,reaction,"BORDERLINE: dismissive shrug, no argument. Thin. Leans reaction.",yes,,,,
"Been holding this bag for almost 5 years... From $10,000 to 3 Cents. Happy 2026!",reaction,Rueful loss storytelling.,yes,,,,
Stocks went up 50% after I sold. How do you deal with sellers remorse?,question,BORDERLINE: emotional setup but primary act is asking for advice. Leans question.,yes,,,,
Is liquidity an issue when buying etf's?,question,,yes,,,,
"I forgot I bought AMD and now its most of my portfolio, it's stressing me out",reaction,Anxiety about concentration. (Non-brag reaction - good variety.),yes,,,,
